ID|字段名|类型|||描述|备注|
66|TotalFundVol|N|16|0|基金总份数||
67|FundCode|C|6||基金代码||
68|FundStatus|C|1||基金状态|0-可申购赎回，1-发行,4-停止申购赎回,5-停止申购，6-停止赎回,8-基金终止，9-基金封闭|
69|HomeTelNo|C|22||投资人住址电话||
70|MaxRedemptionVol|N|16|0|基金最高赎回份数||
71|MinAccountBalance|N|16|0|基金最低持有份数||
72|CertificateNo|C|30||投资人证件号码||
73|AnnualIncome|N|8|0|投资人年收入||
74|AnnouncementDate|A|8||公告日期|格式为：YYYYMMDD|
75|AnnouncementType|A|1||公告类别 |0-常规，1-异常|
76|Interest|N|10|0|基金账户利息金额||
77|BackAmountByInvalid|N|16|0|因为无效而划回投资人的资金||
78|IPOStartDate|A|8||基金募集开始日期|格式为：YYYYMMDD|
79|IPOEndDate|A|8||基金募集结束日期|格式为：YYYYMMDD|
80|LargeRedemptionFlag|A|1||巨额赎回处理标志|0-取消，1-顺延|
81|LengthOfAnnouncement|N|10|0|公告内容长度||
82|FundManagerCode|C|3||基金管理人||
83|MobileTelNo|C|24||投资人手机号码||
84|MultiAcctFlag|A|1||多渠道开户标志|0-首次开设基金账户,1-已经其它渠道开户|
85|InvestorName|C|120||投资人户名||
86|NAV|N|7|4|基金单位净值||
87|BranchCode|C|9||网点号码|托管网点号码。对大集中方式的销售人，此字段与销售人代码相同。|
88|OfficeTelNo|C|22||投资人单位电话号码||
89|OriginalSerialNo|A|20||TA的原确认流水号||
90|OriginalAppSheetNo|A|24||原申请单编号||
91|OriginalSubsDate|A|8||原申购日期|格式为：YYYYMMDD|
92|TransactionDate|A|8||交易发生日期|格式为：YYYYMMDD|
93|TransactionTime|A|6||交易发生时间|格式为：HHMMSS|
94|OtherFee1|N|10|0|其他费用1||
95|OtherFee2|N|16|0|其他费用2||
96|OtherFee3|N|16|0|其他费用3||
97|TargetDistributorCode|C|9||对方销售人代码||
98|IndividualOrInstitution|A|1||个人/机构标志|0-机构，1-个人，2-产品（在参数文件中表示“全部”）|
99|IndiAppSubsVol|N|16|0|个人追加认购份数||
100|IndiAppSubsAmount|N|16|0|个人追加认购金额||
101|PostCode|A|6||投资人邮政编码||
102|RedemptionDateInAdvance|A|8||预约赎回日期|格式为：YYYYMMDD|
103|IPOPrice|N|7|4|发行价格||
104|MinSubsVolByIndi|N|16|0|个人首次认购最低份数||
105|MinSubsAmountByIndi|N|16|0|个人首次认购最低金额||
106|TransactorCertNo|C|30||经办人证件号码||
107|TransactorCertType|C|1||经办人证件类型,|0-身份证，1-护照,2-军官证，3-士兵证,4-港澳居民来往内地通行证，5-户口本,6-外国护照，7-其它,8-文职证，9-警官证,A-台胞证,B-外国人永久居留身份证|
108|TransactorName|C|20||经办人姓名||
109|TotalRedemptionAmount|N|16|0|基金赎回总金额||
110|TotalTransactionOfSuccessfulRedemption|N|10|0|成功赎回总笔数||
111|TotalFeeOfRedemption|N|16|0|赎回手续费总金额||
112|VolOnRegistraionDate|N|16|0|权益登记日基金账户份数||
113|RegistrationDate|A|8||权益登记日期|格式为：YYYYMMDD|
114|RegistrarCode|C|2||注册登记人代码||
115|RegistrationFee|N|16|0|注册登记费||
116|TotalReinvestmentDividend|N|16|0|红利自动再投资总金额||
117|BackAmountByExcess|N|16|0|因为剩余而划回投资人的资金||
118|TotalRedemptionVol|N|16|0|赎回总份数||
119|ReturnCode|A|4||交易处理返回代码|取值见附录B|
120|TransactionAccountID|A|17||投资人基金交易账号|投资人在销售机构内开设的用于交易的账号|
121|DistributorCode|C|9||销售人代码||
122|AccountAbbr|C|12||投资人户名简称||
123|DividendRatio|N|16|0|红利比例|(金额/分红总额)|
	124|ConfidentialDocumentCode|C|8||密函编号||
125|DocumentSendDate|A|8||文件发送日期|格式为：YYYYMMDD|
126|Sex|A|1||投资人性别|1-男，2-女|
127|SHSecuritiesAccountID|C|10||上交所证券账号||
128|SZSecuritiesAccountID|C|10||深交所证券账号||
129|FundSize|N|16|0|基金规模||
130|FundSponsor|A|3||基金发起人||
131|AnnouncementTitle|C|100||公告标题||
132|ApplicationVol|N|16|0|申请基金份数||
133|TradingPrice|N|7|4|交易价格|单位基金净值+各种费用|
134|ApplicationAmount|N|16|0|申请金额||
135|BusinessCode|A|3||业务代码|编码见表4|
136|TAAccountID|C|12||投资人基金账号||
137|TASerialNO|A|20||TA确认交易流水号|TA对每笔确认的唯一标识，同一日不能重复，,与交易确认日期TransactionCfmDate一起组成TA中一笔确认的唯一键|
138|StampDuty|N|16|0|印花税||
139|Tax|N|16|0|税金||
140|TelNo|C|22||投资人电话号码||
141|TargetBranchCode|C|9||对方网点号|转销售人/机构、非交易过户时使用|
142|TargetTransactionAccountID|A|17||对方销售人处投资人基金交易账号|非交易过户时使用|
143|AggregationOfTransactionByBusinessType|N|8|0|每种业务笔数汇总||
144|AggregationDate|A|8||汇总日期|格式为：YYYYMMDD|
145|TotalVol|N|16|0|基金份数汇总||
146|TotalAmount|N|16|0|基金金额汇总||
147|TargetTAAccountID|C|12||对方基金账号|转销售人、非交易过户时|
148|TrailCommission|N|16|0|尾随佣金||
149|UpdateDate|A|8||基金净值日期|格式为：YYYYMMDD|
150|ValidPeriod|N|2|0|交易申请有效天数||
151|FaceValue|N|7|4|基金面值||
152|TargetRegionCode|A|4||对方所在地区编号||
153|TotalFailingVol|N|16|0|失败份数汇总||
154|TotalSuccessfulVol|N|16|0|成功份数汇总||
155|DividendPerUnit|N|16|0|单位基金分红金额（含税）||
156|InterestTax|N|16|0|利息税||
157|FundVolBalance|N|16|0|基金份数余额||
158|BeginAllotNo|N|12|0|配号开始号||
159|EndAllotNo|N|12|0|配号结束号||
160|TotalAllotNo|N|12|0|配号总数||
161|CfmVolOfTargetFund|N|16|0|目标基金的确认份数||
162|TargetNAV|N|7|4|目标基金的单位净值||
163|TargetFundPrice|N|7|4|目标基金的价格||
164|TradingMethod|C|8||使用的交易手段|共8个字符，每个字符代表一种交易手段，其含义为：,第1位：CALLCENTER,第2位：INTERNET,第3位：自助终端,第4位：柜台,第5~8位：保留,每个字符取1表示使用此种手段，取0表示不使用|
165|ContractNo|A|20||合约编号||
166|SelfHelp|C|1||自助终端|0-取消，1-开通|
167|MinorFlag|C|1||未成年人标志|0-否，1-是|
169|DeliverType|C|1||对账单寄送选择||
170|TransactorIDType|C|1||经办人识别方式|1-书面委托，2-印鉴,3-密码，4-证件|
171|AccountCardID|C|8||基金账户卡的凭证号||
172|TotalFrontendFee|N|16|0|交易前端收费总额||
173|TotalBackendLoad|N|16|0|交易后端收费总额||
174|TotalFailingAmount|N|16|0|失败金额汇总||
175|TotalSuccessfulAmount|N|16|0|成功金额汇总||
176|TransferDirection|A|1||转入/转出标识|0-转出，1-转入|
177|BusinessFinishFlag|C|1||业务过程完全结束标识|0-中间过程,1-业务过程结束|
178 |TotalFailingDealingNum|N|6|0|失败交易笔数||
179|TotalSuccessfulDealingNum|N|6|0|成功交易笔数||
180|ConvertStatus|C|1||基金转换状态|0-可转入，可转出,1-只可转入,2-只可转出,3-不可转换|
181|AcctNameOfInvestorInClearingAgency|C|60||投资人收款银行账户户名||
182|AcctNoOfInvestorInClearingAgency|C|28||投资人收款银行账户账号||
183|ClearingAgency|A|9||投资人收款银行账户开户行||
184|UnFrozenBalance|N|16|0|解冻红利金额|账户冻结期间产生的红利|
185|BusinessOrganiger|C|3||业务发起人代码|　|
186|AccountType|C|1||账户类型|0-普通账户，1-机构散户|
187|FrozenBalance|N|16|0|冻结金额||
188|FrozenShares|N|16|0|冻结红利再投资份数|需冻结的红利再投资份数|
189|TotalFare|N|16|0|交易费用汇总|　|
190|VastRedeemFlag|C|1||巨额赎回标志|0：非巨额；1：巨额|
191|TermOfPeriodicSubs|N|5|0|定时定额申购期限||
192|FutureBuyDate|A|8||指定申购日期|格式为：YYYYMMDD|
193|RateFee|N|9|8|费率|分段收费考虑|
194|MinFee|N|10|0|最少收费||
195|DaysRedemptionInAdvance|N|5|0|预约赎回工作日天数||
198|MaxSubsVolByIndi|N|16|0|个人最高认购份数||
199|MaxSubsAmountByIndi|N|16|0|个人最高认购金额||
200|MaxSubsVolByInst|N|16|0|法人最高认购份数||
201|MaxSubsAmountByInst|N|16|0|法人最高认购金额||
202|UnitSubsVolByIndi|N|16|0|个人认购份数单位||
203|UnitSubsAmountByIndi|N|16|0|个人认购金额单位||
204|UnitSubsVolByInst|N|16|0|法人认购份数单位||
205|UnitSubsAmountByInst|N|16|0|法人认购金额单位||
206|MinBidsAmountByIndi|N|16|0|个人首次申购最低金额||
207|MinBidsAmountByInst|N|16|0|法人首次申购最低金额||
208|MinAppBidsAmountByIndi|N|16|0|个人追加申购最低金额||
209|MinAppBidsAmountByInst|N|16|0|法人追加申购最低金额||
210|MinRedemptionVol|N|16|0|基金最少赎回份数||
211|MinInterconvertVol|N|16|0|最低基金转换份数||
212|IssueTypeByIndi|C|1||个人发行方式|1-比例发行，2-摇号,3-先来先买|
213|IssueTypeByInst|C|1||机构发行方式|1-比例发行，2-摇号,3-先来先买|
214|SubsType|C|1||认购方式|0-金额认购，1-份数认购|
215|CollectFeeType|C|1||交易费收取方式|0-价内费，1-价外费|
216|NextTradeDate|A|8||下一开放日||
217|SalerNetReceivableAmount|N|16|0|销售人净收结算金额|　|
218|SalerNetPayableAmount|N|16|0|销售人净付结算金额|　|
219|SalerTotalFee|N|16|0|销售人收取费用总额|　|
220|SalerBuyFee|N|16|0|销售人收取申购费用|　|
221|SalerBidFee|N|16|0|销售人收取赎回费用|　|
222|FundTotalFee|N|16|0|赎回费用总额（扣除保留在基金资产部分）|　|
223|RaiseTotalAmount|N|16|0|认购资金总额|　|
224|AccumulativeTotalRaiseAmount|N|16|0|累计认购资金总额|　|
225|RaiseInterest|N|16|0|认购期间利息|　|
226|SalerRaiseFee|N|16|0|销售人认购费|　|
227|ConversionInAmount|N|16|0|转入款|　|
228|ConvertingToAmount|N|16|0|转出款|　|
229|SalerExchangeFee|N|16|0|销售人转换费|　|
230|BidTax|N|16|0|申购印花税|　|
231|RedemptionTax|N|16|0|赎回印花税|　|
232|IndividualCapitalGainTax|N|16|0|分红个人利得所得税|　|
233|InstituteCapitalGainTax|N|16|0|分红机构利得所得税|　|
234|IndividualIncomeTax|N|16|0|分红个人增值所得税|　|
235|InstituteIncomeTax|N|16|0|分红机构增值所得税|　|
236|SalerReinvestmentFee|N|16|0|销售人再投资费|　|
237|SubFeeRetTA|N|16|0|申购归注册登记人所得费用|包括注册登记人的费用|
238|RedemFeeRetTA|N|16|0|赎回归注册登记人所得费用|包括注册登记人的费用|
239|TotalTransInAmount|N|16|0|基金转换入总金额|　|
240|TotalFeeOfTransInAmount|N|16|0|基金转换入手续费总金额|　|
241|TotalTransInVol|N|16|0|基金转换入总份数|　|
242|TotalTransOutAmount|N|16|0|基金转换出总金额|　|
243|TotalFeeOfTransOutAmount|N|16|0|基金转换出手续费总金额|　|
244|TotalTransOutVol|N|16|0|基金转换出总份数|　|
245|BidTrade|N|13|0|成功申购总户数|　|
246|RedeemTrade|N|13|0|成功赎回总户数|　|
247|FreezeTotal|N|16|0|冻结总份数|　|
248|ManagerCode|A|3||管理人代码||
249|NetBidTotalAmount|N|16|0|申购成功资金总额（不含费用，不含税）||
250|NetRedeemTotalAmount|N|16|0|赎回成功资金总额（不含费用，不含税）||
251|CreditDebit|N|1|0|借贷方向|0-借方 1-贷方|
252|RedemptionFee|N|16|0|赎回费||
253|NetSettlement|N|16|0|资金清算净额|全额交收可以用作实际清算额|
254|Specification|C|60||摘要/说明||
255|TransferFee|N|10|0|过户费||
256|FromTAFlag|A|1||是否注册登记人发起业务标志|0-由销售人发起，,1-由注册登记人发起|
257|FrozenMethod|A|1||冻结方式|0-原份数冻结，,1-原份数+滋息冻结|
258|OriginalAppDate|A|8||原申请日期|格式为：YYYYMMDD|
259|TotalBackendLoadVol|N|16|0|交易后端收费总份数||
260|ShareClass|A|1||收费方式|0-前收费，1-后收费,2-前后收费共用（基金代码）|
261|OriginalCfmDate|A|8||TA的原确认日期||
262|RedemptionInAdvanceFlag|A|1||预约赎回标志|0-非预约赎回，1-预约赎回|
263|RedemptionReason|A|1||强行赎回原因|0-小于最低持有数，,1-司法执行，2-政策原因,3-全份额快速过户后强制结转收益并强赎|
264|DetailFlag|A|1||明细标志|0-非明细，1-明细|
265|DeliverWay|C|8||对账单寄送方式|共8个字符，每个字符代表一种交易手段，其含义为：,第1位：邮寄，,第2位：传真，,第3位：E-mail，,第4位：短消息，,第5~8位：保留。,每位字符取1表示采用此种手段，取0表示不使用|
266|VolumeByInterest|N|16|0|利息产生的基金份数||
267|ValueLine|N|7|0|产品价值线数值||
268|AccountStatus|A|1||账户状态|0-正常，1-冻结，2-挂失|
269|BeginDateOfPeriodicSubs|A|8||定时定额申购起始日期|格式为：YYYYMMDD|
270|EndDateOfPeriodicSubs|A|8||定时定额申购终止日期|格式为：YYYYMMDD|
271|SendDayOfPeriodicSubs|N|2|0|定时定额申购每周期发送日|指每周期的第几天。如果遇非交易日，则顺延到下一交易日。|
272|TotalVolumeofReinvestmentDividend|N|16|0|红利再投资份额总额||
273|AccumulativeNAV|N|7|4|累计基金单位净值||
274|ShareRegisterDate|A|8||份额注册日期||
275|LargeBuyFlag|A|1||巨额购买处理标志|0-取消，1-顺延|
276|FeeCalculator|A|1||计费人|0-TA计费  1-基金计费|
277|IndiAcctCfmRate|N|5|4|个人账户确认比例||
278|InstAcctCfmRate|N|5|4|机构账户确认比例||
279|GenAcctCfmRate|N|5|4|综合账户确认比例||
280|VarietyCodeOfPeriodicSubs|C|5||定时定额品种代码||
281|SerialNoOfPeriodicSubs|C|5||定时定额申购序号||
282|CorpName|C|40||工作单位名称||
283|RefundAmount|N|16|0|退款金额||
284|SecuritiesAccountID|C|10||证券账号||
285|SalePercent|N|8|5|配售比例||
286|CertValidDate|A|8||证件有效日期||
287|InstTranCertValidDate|A|8||机构经办人身份证件有效日期||
288|InstReprCertValidDate|A|8||机构法人身份证件有效日期||
289|ClientRiskRate|C|1||客户风险等级|1-低风险承受能力,2-较低风险承受能力,3-中等风险承受能力,4-较高风险承受能力,5-高风险承受能力|
290|InstReprManageRange|C|2||机构法人经营范围|01-农、林、牧、渔业 02-采矿业03-制造业 04-电力、燃气及水的生产和供应业 05-建筑业 06-交通运输、仓储和邮政业  07-信息传输、计算机服务和软件业 08-批发和零售业 09-住宿和餐饮业 10-金融业 11-房地产业 12-租赁和商务服务业 13-科学研究、技术服务和地质勘查业 14-水利、环境和公共设施管理业 15-居民服务和其他服务业 16-教育 17-卫生、社会保障和社会福利业 18-文化、体育和娱乐业 19-公共管理与社会组织 20-国际组织 |
291|ControlHolder|C|80||控股股东||
292|ActualController|C|80||实际控制人||
293|MarriageStatus|C|1||婚姻状况|0-未婚  1-已婚|
294|FamilyNum|N|2|0|家庭人口数||
295|Penates|N|16|0|家庭资产||
296|MediaHobby|C|1||媒体偏好|0-网络  1-广播 2-电视 3-报刊 4-其它|
297|CustomerNo|C|12||TA客户编号||
298|RationProtocolNo|C|20||定期定额协议号||
299|RationType|C|1||定期定额种类||
300|BreachFee|N|16|0|违约金||
301|SalesPromotion|C|3||促销活动代码||
302|AcceptMethod|C|1||受理方式|0-柜台1-电话2-网上3-自助 4-传真 5-其他 |
303|ForceRedemptionType|C|1||强制赎回类型|0-强制赎回，1-违约赎回，2-到期|
304|AllowBreachRedempt|C|1||允许违约赎回标志|0-允许，1-不允许|
305|PunishFee|N|16|0|惩罚性费用||
306|BreachFeeBackToFund|N|16|0|违约金归基金资产金额||
307|FutureSubscribeDate|A|8||指定认购日期||
308|TotalDivident|N|8|5|累积单位分红||
309|ErrorDetail|C|60||出错详细信息||
310|FundType|C|2||基金类型|01-股票型02-债券型03-混合型04-货币型|
311|PointsType|C|1||积分类型|0-基金公司一般积分 1-利添利联名卡积分|
312|Points|N|15|0|积分值||
313|FundCorpCode|C|8||基金公司代码||
314|FundServerTel|C|30||基金公司客服电话||
315|FundInternetAddress|C|40||基金公司网站网址||
316|PointsStatus|C|1||积分状态|0-正常 1-作废|
317|AnnouncFlag|C|1||公告标志|0-公告  1-不公告|
318|TransferPermitFlag|C|1||跨市场转入允许标志|0-允许，1-不允许|
319|InstAccount|C|30||销售人结算法人资金帐号||
320|CapitalType|C|3||资金类型||
321|ReceOrPayFlag|C|1||收付标志||
322|CalculateDate|A|8||清算日期||
323|PayDate|A|8||交收日期||
324|SeatCode|C|6||席位代码||
325|InstitutionType|C|1||机构类型|若为机构分类如下：,0-保险公司，1-基金管理公司，3-信托公司，4-证券公司，8-其他，9-银行；A:私募基金管理人；B:期货公司；C-基金管理公司子公司；D-证券公司子公司；E-期货公司子公司；F-财务公司；G:其他境内金融机构；H:机关法人；I:事业单位法人；J:社会团体法人；K:非金融机构企业法人；L:非金融类非法人机构；M:境外代理人；N:境外金融机构； P:外国战略投资者；Q:境外非金融机构。,,若为产品分类如下：,6-企业年金及职业年金，8-其他，9:开放式公募基金产品；A:封闭式公募基金产品；B:银行理财产品；C:信托计划；D:基金公司专户；E:基金子公司产品；F:保险产品；G:保险公司及其子公司的资产管理计划；H:证券公司集合理财产品（含证券公司大集合）；I:证券公司专项资管计划；J:证券公司定向资管计划；K:期货公司及其子公司的资产管理计划；L:私募投资基金；M:政府引导基金；,N:全国社保基金；P:地方社保基金；Q:基本养老保险；R:养老金产品；S:境外资金（QFII）；T:境外资金（RQFII）；U:其它境外资金；V:社会公益基金（慈善基金、捐赠基金等）。,,若为个人分类如下：,0-私募基金管理人员工,1-非私募基金管理人员工|
326|DistributorName|C|80||销售人名称||
327|TakeIncomeFlag|C|1||带走收益标志|0-不带走，1-带走|
328|PurposeOfPeSubs|C|40||定投目的||
329|FrequencyOfPeSubs|N|5|0|定投频率||
330|BatchNumOfPeSubs|N|16|0|定投期数||
331|FundTypeName|C|30||基金类型名称||
332|RegistrarName|C|40||注册登记人名称||
333|FundManagerName|C|40||基金管理人名称||
334|EnglishFirstName|C|20||投资人英文名||
335|EnglishFamliyName|C|20||投资人英文姓||
336|Vocation|C|4||行业|采用国标GB/T4754-2011 |
337|CorpoProperty|C|2||企业性质|0-国企 1-民营 2-合资,3-其它|
338|StaffNum|N|16|0|员工人数||
339|Hobbytype|C|2||兴趣爱好类型||
340|Province|C|6||省/直辖市|采用国标GB/T 2260-2007中6位数字代码|
341|City|C|6||市|采用国标GB/T 2260-2007中6位数字代码|
342|County|C|6||县/区|采用国标GB/T 2260-2007中6位数字代码|
343|CommendPerson|C|40||推荐人||
344|CommendPersonType|C|1||推荐人类型|1:内部员工2:注册用户,3:基金账户4:客户经理编号5:客户经理姓名0:其他|
345|CapitalMode|C|2||资金方式|1：普通方式，2：兴业银基通，3：银联通，4：工行网银，5：好易联，6：汇付天下，7：工行银基通，8：好易联托收，9：银行代扣款，A：农行网银，B：建行网银，C：交行网银，D：北京银行，E：支付宝，F：浦发网银，G：招行网银，H：开联网银，I：富友，J：民生网银，K：网下转账，L：平安网银，M：通联，N：中行网银，P：易宝，Q：财富通|
346|DetailCapticalMode|C|2||明细资金方式||
347|BackenloadDiscount|N|54|0|补差费折扣率||
348|CombineNum|C|6||组合编号||
349|AlternationDate|A|8||最后更新日||
350|TargetDistributorType|C|1||对方销售人类型||
351|XRValue|N|16|0|单位除权值||
352|XRValueFlag|C|1||单位除权值正负|0-正  1-负|
353|XRType|C|1||除权类型|0-分红   1-净值调整|
354|DividendType|C|1||分红类型|0-普通分红，1-质押基金分红，2-货币基金收益结转，3-保本基金赔付，4-专户到期处理|
355|SequenceNO|A|20||序号||
356|OperateDate|A|8||生效日期|YYYYMMDD|
357|VolLowerLimit|N|16|0|份额下限||
358|VolUpperLimit|N|16|0|份额上限||
359|AmountLowerLimit|N|16|0|金额下限||
360|AmountUpperLimit|N|16|0|金额上限||
361|DaysLowerLimit|N|5|0|天数下限||
362|DaysUpperLimit|N|5|0|天数上限||
363|MaxFee|N|16|0|最高费用||
365|GetFeeRateMethod|C|1||取费率方式|0-固定收费 1-按金额 2-按天数 3-按份额|
366|FeeRateFlag |C|1||费率标志|0-绝对费率 1-相对费率|
367|FundNameAbbr|C|20||基金简称||
368|IsGuaranteedFund|C|1||是否保本基金|0-非  1-是|
369|IsLOFFund|C|1||是否LOF基金|0-非  1-是|
370|IsQDIIFund|C|1||是否QDII基金|0-非  1-是|
371|IsETFFund|C|1||是否ETF基金|0-非  1-是|
372|RedeemFeeBackRatio|N|16|0|赎回费归基金资产比例||
373|FundEstablishDate|A|8||基金成立日期|YYYYMMDD|
374|ConstantFee|N|16|0|固定费用||
375|IsDiscount|C|1||是否允许打折|0-非  1-是|
376|BuyPayPeriod|N|16|0|申购交收天数||
377|RedemptionPayPeriod|N|16|0|赎回交收天数||
378|ConversionPayPeriod|N|16|0|基金转换交收天数||
379|ChargePayMethod|C|1||手续费结算方式|0-净额结算  1-全额结算|
380|CompareProportion|N|16|8|相对比例|费率针对指定费率的比例，即费率/指定费率|
381|CompareCapitalType|C|3||相对资金类型||
382|SubPayBackPeriod|N|16|0|认购退款交收天数||
383|DividendPayPeriod|N|16|0|分红交收天数||
384|WholeFlag|C|1||全量标志|0-增量   1-全量|
385|ModifyWay|C|1||修改方式|0-新增   1-修改  2-删除|
386|ChangeAgencyFee|N|16|0|转换代理费||
387|RecuperateAgencyFee|N|16|0|补差代理费||
388|RedemptionSequence|C|1||指定赎回方式|0-先进先出 1-后进先出|
389|BuyUpperAmount|N|16|0|申购金额上限||
390|CovertInUpperAmount|N|16|0|基金转换转入金额上限||
391|PeriodSubUpperAmount|N|16|0|定时定额申购金额上限||
392|ChargeType|C|1||收费类型||
393|SpecifyRateFee|N|9|8|指定费率||
394|SpecifyFee|N|16|0|指定费用||
395|PeriodSubTimeUnit|C|1||定投周期单位||
501|FundIncome|N|8|5|货币基金万份收益率||
502|FundIncomeFlag|C|1||货币基金万份收益正负|0-正  1-负|
503|Yield|N|8|5|货币基金七日年收益|　|
504|YieldFlag|C|1||货币基金七日年收益正负|0-正  1-负|
505|GuaranteedNAV|N|7|4|保本净值|　|
506|HandleCharge|N|10|0|经手费|　|
507|UndistributeMonetaryIncome|N|16|0|货币基金未付收益金额|　|
508|GuaranteedAmount|N|16|0|剩余保本金额|　|
509|ExchangeFlag|C|1||交易所标志|0-深圳场内  1-上海场内,2-场外|
510|UndistributeMonetaryIncomeFlag|C|1||货币基金未付收益金额正负|0-正  1-负|
511|Ref|C|10||券商用|　|
512|Internet|C|1||INTERNET交易|0-取消，1-开通|
521|ShareType|C|1||份额类别|保留字段。0-前收费，1-后收费|
522|Nationality|C|3||投资者国籍|采用GB/T 2659-2000|
524|NetNo|C|9||操作（清算）网点编号|　|
526|TargetShareType|C|1||对方基金份额类别||
527|SourceType|C|1||份额原始来源|0-认购1-申购 2-定期定额申购3-分红|
529|VastRedeemRatio|N|98|0|巨额赎回兑现比例|　|
530|Broker|C|12||经纪人|客户所属的经纪人|
532|ProtocalEndDate|A|8||协议截止日期||
533|RationDate|N|5|0|定期定额的指定日期||
535|FundDayIncomeFlag|C|1||基金当日总收益正负||
536|FundDayIncome|N|16|0|基金当日总收益||
537|CustomerID|C|12||客户号||
